"","507","","","265.9263"
"","2670","","","436.2105"
"","496.77","","",""
"","466","","",""
"8.99","304.53","","","4805.3155"
"3.2","327.04","","","480.0316"
"1.81","270.55","","","7200.4733"
"","463.64","","",""
"","270.95","","","136992.5519"
"","106.75","","","300"
"0.04","594","","",""
"17.55","360.4","","",""
"","45.14","","",""
"0.69","411.5","0.47","0.31","448.433"
"","229.13","","","400"
"2.8","510","0.95","0.57","9800"
"","","","","1500"
"","488.53","","",""
"","","","","218.1053"
"","311","","","5670"
"0.33","1492.75","","",""
"","98.03","","","520"
"","270.95","","","20000"
"","44.41","","","960"
"1","336.35","","",""
"2.99","369.5","","",""
